warehouse,date,total_orders
EW2,15/09/2021,186
EW2,16/09/2021,199
EW2,17/09/2021,326
EW2,18/09/2021,390
EW2,19/09/2021,353
EW2,20/09/2021,359
EW2,21/09/2021,393
EW2,22/09/2021,395
EW2,23/09/2021,295
EW2,24/09/2021,212
EW2,25/09/2021,324
EW2,26/09/2021,540
EW2,27/09/2021,698
EW2,28/09/2021,23
EW2,29/09/2021,744
EW2,30/09/2021,672
EW2,01/10/2021,358
EW2,02/10/2021,613
EW2,03/10/2021,688
EW2,04/10/2021,757
EW2,05/10/2021,767
EW2,06/10/2021,946
EW2,07/10/2021,1139
EW2,08/10/2021,855
EW2,09/10/2021,897
EW2,10/10/2021,878
EW2,11/10/2021,1157
EW2,12/10/2021,1231
EW2,13/10/2021,1052
EW2,14/10/2021,1241
EW2,15/10/2021,987
EW2,16/10/2021,1364
EW2,17/10/2021,1195
EW2,18/10/2021,1422
EW2,19/10/2021,539
EW2,20/10/2021,1211
EW2,21/10/2021,1197
EW2,22/10/2021,1531
EW2,23/10/2021,1446
EW2,24/10/2021,1119
EW2,25/10/2021,1333
EW2,26/10/2021,1502
EW2,27/10/2021,1513
EW2,28/10/2021,1572
EW2,29/10/2021,1010
EW2,30/10/2021,1451
EW2,31/10/2021,1543
EW2,01/11/2021,1423
EW2,02/11/2021,1728
EW2,03/11/2021,1414
EW2,04/11/2021,1490
EW2,05/11/2021,1067
EW2,06/11/2021,1591
EW2,07/11/2021,1696
EW2,08/11/2021,1537
